objects,sensors,filter,lang,timeout,avg_ms,std_ms,status,timestamp
5,2,GA-LMB-LBP,octave,5,18.0698,11.3042,OK,2026-01-07T15:01:55
10,1,LMB-Murty,rust,5,23.9071,13.4508,OK,2026-01-07T15:02:07
10,1,LMB-Murty,python,5,22.9753,12.4577,OK,2026-01-07T15:02:10
10,1,LMBM-Murty,rust,5,32.4781,7.5167,OK,2026-01-07T15:02:23
10,1,LMBM-Murty,python,5,30.1129,5.2878,OK,2026-01-07T15:02:26
10,2,LMBM-Murty,rust,5,31.2476,7.0364,OK,2026-01-07T15:02:29
10,2,LMBM-Murty,python,5,30.5693,5.1787,OK,2026-01-07T15:02:32
10,2,GA-LMB-LBP,octave,5,41.4490,37.6614,OK,2026-01-07T15:02:42
10,4,LMBM-Murty,rust,5,30.9526,5.3405,OK,2026-01-07T15:02:46
10,4,LMBM-Murty,python,5,32.1338,5.2125,OK,2026-01-07T15:02:49
20,1,LMBM-Murty,rust,5,32.1168,8.2647,OK,2026-01-07T15:03:28
20,1,LMBM-Murty,python,5,31.8131,5.2071,OK,2026-01-07T15:03:31
20,2,LMBM-Murty,rust,5,31.8312,5.1896,OK,2026-01-07T15:03:34
20,2,LMBM-Murty,python,5,31.8890,5.9475,OK,2026-01-07T15:03:37
20,4,LMBM-Murty,rust,5,32.1452,6.7242,OK,2026-01-07T15:03:41
20,4,LMBM-Murty,python,5,31.5038,5.4767,OK,2026-01-07T15:03:44
20,4,IC-LMB-LBP,python,5,18.6140,7.6209,OK,2026-01-07T15:03:46
20,8,LMBM-Murty,rust,5,32.9578,6.7199,OK,2026-01-07T15:03:59
20,8,LMBM-Murty,python,5,33.5266,7.5352,OK,2026-01-07T15:04:03
20,8,IC-LMB-LBP,rust,5,44.4292,17.3751,OK,2026-01-07T15:04:07
20,8,IC-LMB-LBP,python,5,44.3596,17.1976,OK,2026-01-07T15:04:12
50,8,LMBM-Murty,rust,5,38.9417,6.9714,OK,2026-01-07T15:04:16
50,8,LMBM-Murty,python,5,37.9277,7.1191,OK,2026-01-07T15:04:20
5,1,LMB-LBP,octave,60,45.4148,31.7456,OK,2026-01-07T15:05:59
5,1,LMBM-Murty,octave,60,89.1828,77.9495,OK,2026-01-07T15:08:09
5,2,LMBM-Murty,octave,60,257.0562,67.6000,OK,2026-01-07T15:08:35
5,2,AA-LMB-LBP,octave,60,420.3324,458.8658,OK,2026-01-07T15:09:18
5,2,IC-LMB-LBP,octave,60,79.1902,74.6555,OK,2026-01-07T15:09:26
10,1,LMB-LBP,octave,60,115.1275,78.1560,OK,2026-01-07T15:10:39
10,1,LMB-Murty,octave,60,64.8487,17.6580,OK,2026-01-07T15:10:46
10,1,LMBM-Gibbs,rust,60,74.9944,14.8624,OK,2026-01-07T15:10:55
10,1,LMBM-Gibbs,python,60,75.2751,14.4601,OK,2026-01-07T15:11:03
10,1,LMBM-Murty,octave,60,97.2405,112.7081,OK,2026-01-07T15:11:13
10,2,LMBM-Gibbs,rust,60,75.8277,13.9187,OK,2026-01-07T15:11:21
10,2,LMBM-Gibbs,python,60,75.7199,12.6281,OK,2026-01-07T15:11:29
10,2,LMBM-Murty,octave,60,267.2420,58.9543,OK,2026-01-07T15:11:56
10,2,IC-LMB-LBP,octave,60,224.3276,233.6661,OK,2026-01-07T15:13:19
10,2,PU-LMB-LBP,octave,60,64.5676,42.5471,OK,2026-01-07T15:13:27
10,4,LMBM-Gibbs,rust,60,77.1238,13.5610,OK,2026-01-07T15:13:34
10,4,LMBM-Gibbs,python,60,80.7598,19.8764,OK,2026-01-07T15:13:43
10,4,LMBM-Murty,octave,60,212.4967,122.1557,OK,2026-01-07T15:14:05
10,4,AA-LMB-LBP,rust,60,80.0365,34.8154,OK,2026-01-07T15:14:13
10,4,AA-LMB-LBP,python,60,77.7941,33.7801,OK,2026-01-07T15:14:20
10,4,IC-LMB-LBP,octave,60,502.7529,391.9144,OK,2026-01-07T15:15:11
10,4,GA-LMB-LBP,octave,60,66.4441,34.8340,OK,2026-01-07T15:16:19
10,4,MS-LMBM-Gibbs,rust,60,550.6863,93.8130,OK,2026-01-07T15:17:14
10,4,MS-LMBM-Gibbs,python,60,545.0903,95.7464,OK,2026-01-07T15:18:09
20,1,LMB-LBP,octave,60,582.9818,627.3359,OK,2026-01-07T15:19:08
20,1,LMB-Murty,octave,60,174.8825,69.5136,OK,2026-01-07T15:19:26
20,1,LMB-Murty,rust,60,72.7114,54.0697,OK,2026-01-07T15:19:33
20,1,LMB-Murty,python,60,74.9263,58.0043,OK,2026-01-07T15:19:41
20,1,LMBM-Gibbs,rust,60,159.8254,51.1418,OK,2026-01-07T15:19:57
20,1,LMBM-Gibbs,python,60,156.8282,34.4938,OK,2026-01-07T15:20:13
20,1,LMBM-Murty,octave,60,447.1952,178.0384,OK,2026-01-07T15:20:58
20,2,LMBM-Gibbs,rust,60,162.3578,38.8315,OK,2026-01-07T15:21:15
20,2,LMBM-Gibbs,python,60,155.1931,30.0576,OK,2026-01-07T15:21:30
20,2,LMBM-Murty,octave,60,321.6830,100.7155,OK,2026-01-07T15:22:03
20,2,AA-LMB-LBP,rust,60,67.8488,28.6800,OK,2026-01-07T15:22:10
20,2,AA-LMB-LBP,python,60,64.6628,26.1517,OK,2026-01-07T15:22:17
20,2,GA-LMB-LBP,octave,60,136.0588,116.0408,OK,2026-01-07T15:23:31
20,2,MS-LMBM-Gibbs,rust,60,34.9821,8.7957,OK,2026-01-07T15:23:34
20,2,MS-LMBM-Gibbs,python,60,35.6815,8.8940,OK,2026-01-07T15:23:38
20,4,LMBM-Gibbs,rust,60,162.8329,43.3689,OK,2026-01-07T15:23:54
20,4,LMBM-Gibbs,python,60,153.7732,29.2713,OK,2026-01-07T15:24:10
20,4,LMBM-Murty,octave,60,368.2898,132.7167,OK,2026-01-07T15:24:48
20,4,AA-LMB-LBP,rust,60,212.0712,72.6753,OK,2026-01-07T15:25:09
20,4,AA-LMB-LBP,python,60,212.0965,72.7931,OK,2026-01-07T15:25:30
20,4,PU-LMB-LBP,rust,60,158.3118,228.7812,OK,2026-01-07T15:25:46
20,4,PU-LMB-LBP,python,60,155.8065,220.9940,OK,2026-01-07T15:26:02
20,4,GA-LMB-LBP,octave,60,194.1829,163.8513,OK,2026-01-07T15:26:22
20,8,LMBM-Gibbs,rust,60,161.6491,37.4463,OK,2026-01-07T15:28:38
20,8,LMBM-Gibbs,python,60,155.5299,37.9311,OK,2026-01-07T15:28:54
20,8,LMBM-Murty,octave,60,242.1662,120.0905,OK,2026-01-07T15:29:19
20,8,AA-LMB-LBP,rust,60,579.3265,189.2124,OK,2026-01-07T15:30:17
20,8,AA-LMB-LBP,python,60,579.5600,186.5938,OK,2026-01-07T15:31:15
20,8,GA-LMB-LBP,octave,60,389.9446,338.3747,OK,2026-01-07T15:33:58
50,8,LMBM-Gibbs,rust,60,360.1524,71.2324,OK,2026-01-07T15:34:34
50,8,LMBM-Gibbs,python,60,364.4309,69.7618,OK,2026-01-07T15:35:11
50,8,LMBM-Murty,octave,60,537.1314,189.3653,OK,2026-01-07T15:36:05
50,8,IC-LMB-LBP,rust,60,332.4401,93.7872,OK,2026-01-07T15:38:39
50,8,IC-LMB-LBP,python,60,329.4115,97.4013,OK,2026-01-07T15:39:12
50,8,GA-LMB-LBP,rust,60,61.6848,56.2013,OK,2026-01-07T15:40:18
50,8,GA-LMB-LBP,python,60,58.3585,52.1213,OK,2026-01-07T15:40:24
5,1,LMB-Gibbs,octave,180,771.3897,479.9912,OK,2026-01-07T16:10:09
10,1,LMB-Gibbs,octave,180,1207.0823,574.1054,OK,2026-01-07T16:18:11
10,2,AA-LMB-LBP,octave,180,814.9905,847.7822,OK,2026-01-07T16:19:33
10,4,PU-LMB-LBP,octave,180,1443.5743,1277.1920,OK,2026-01-07T16:24:59
20,2,IC-LMB-LBP,octave,180,774.1795,603.8807,OK,2026-01-07T16:29:17
20,2,PU-LMB-LBP,octave,180,150.2566,71.1374,OK,2026-01-07T16:29:33
20,4,IC-LMB-LBP,octave,180,1344.3017,527.5679,OK,2026-01-07T16:31:48
5,1,LMBM-Gibbs,octave,600,,,TIMEOUT,2026-01-07T17:17:36
5,2,MS-LMBM-Gibbs,octave,600,4769.7190,6777.2183,OK,2026-01-07T17:25:34
10,2,MS-LMBM-Gibbs,octave,600,,,TIMEOUT,2026-01-07T17:35:34
10,4,AA-LMB-LBP,octave,600,4884.9498,2894.0572,OK,2026-01-07T17:43:44
20,1,LMB-Gibbs,octave,600,6430.9429,44421.9644,OK,2026-01-07T17:54:28
20,2,AA-LMB-LBP,octave,600,3801.1304,2493.3074,OK,2026-01-07T18:00:49
20,4,AA-LMB-LBP,octave,600,,,TIMEOUT,2026-01-07T18:10:49
20,4,PU-LMB-LBP,octave,600,,,TIMEOUT,2026-01-07T18:20:49
20,4,MS-LMBM-Gibbs,rust,600,,,TIMEOUT,2026-01-07T18:30:50
20,4,MS-LMBM-Gibbs,python,600,,,TIMEOUT,2026-01-07T18:40:50
20,8,IC-LMB-LBP,octave,600,3313.9433,1306.2168,OK,2026-01-07T18:46:22
50,8,AA-LMB-LBP,rust,600,2608.6856,719.5675,OK,2026-01-07T19:01:50
50,8,AA-LMB-LBP,python,600,2584.6358,719.8082,OK,2026-01-07T19:06:09
50,8,IC-LMB-LBP,octave,600,,,TIMEOUT,2026-01-07T19:16:09
50,8,PU-LMB-LBP,rust,600,,,ERROR,2026-01-07T19:16:09
50,8,PU-LMB-LBP,python,600,,,ERROR,2026-01-07T19:16:09
50,8,GA-LMB-LBP,octave,600,23819.8104,135882.2944,OK,2026-01-07T19:55:52
20,8,PU-LMB-LBP,rust,1,,,TIMEOUT,2026-01-08T12:43:29
20,8,PU-LMB-LBP,python,1,,,TIMEOUT,2026-01-08T12:43:30
